music,os,gender,height,weight,shoe,month,color,pet,number,prob,math
rock,MacOS,F,1.71,68,39,oct,purple,dog,88,3,5
rock,Windows,F,1.68,52,39,aug,brown,cat,73,7,5
rock,MacOS,M,1.8,84,43,may,black,dog,7,8,10
metal,Windows,M,1.74,85,44,nov,black,dog,100,3.5,6
hiphop,Windows,M,1.77,63,42,jan,black,dog,42,9.5,10
hiphop,Windows,M,1.8,60,45,nov,red,dog,7,7,8
rock,Linux/unix,F,1.6,60,39,oct,blue,dog,38,7.5,10
hiphop,Windows,F,1.63,51,38,nov,black,cat,23,,2
pop,Windows,F,1.75,63,40,feb,blue,cat,99,5.5,7.5
rock,Windows,M,1.75,73,45,aug,blue,dog,2,10,9.5
metal,Windows,M,1.78,67,42,jun,blue,dog,14,7,10
metal,Windows,M,1.84,84,45,may,black,dog,1,0,2
rock,Windows,M,1.86,96,46,dec,black,cat,25,5,5.5
rock,Windows,F,1.73,75,40,apr,purple,dog,37,,
pop,MacOS,M,1.84,71,44,apr,black,dog,36,6,5
rock,Windows,F,1.7,80,42,feb,black,cat,53,7.5,7
hiphop,Windows,M,1.85,78,44.5,aug,black,dog,50,10,10
laika,Windows,M,1.75,63,41,apr,green,dog,13,6.5,8.5
pop,Windows,M,1.7,70,42,nov,blue,cat,7,6,6
classical,Windows,F,1.57,64,38,apr,green,dog,99,,
laika,Windows,M,1.81,79,44,apr,black,dog,7,7,10
classical,Windows,F,1.6,43,37,aug,black,dog,73,6,
rock,Windows,M,1.87,90,46,mar,purple,cat,34,7.5,5.5
classical,Windows,M,1.85,88,44,mar,green,cat,3,6,7
folk,Windows,M,1.8,65,42,nov,orange,cat,37,10,10
classical,Windows,M,1.75,71,43,mar,green,cat,81,11.5,7.5
rock,Windows,M,1.78,74,44,sep,purple,both,22,5,6.5
hiphop,Windows,F,1.65,64,39,sep,purple,dog,78,9.5,10
hiphop,Windows,F,1.65,64,39,sep,purple,dog,78,9.5,8.5
rock,Windows,M,1.9,82,46,mar,black,dog,8,8.5,9.5
pop,Windows,M,1.88,110,48.5,mar,green,dog,5,,5
laika,MacOS,M,1.73,76,44,aug,green,dog,1,4,2
electronic,Windows,M,1.75,70,41,aug,white,cat,78,6,7
pop,Windows,F,1.7,52,38,nov,blue,cat,88,,
pop,Windows,F,1.63,60,37,nov,green,dog,80,7,7
rock,Windows,M,1.65,60,42,dec,black,dog,77,,5.5
rock,Windows,F,1.7,78,41,oct,blue,cat,20,6,
rock,Windows,M,1.85,78,46,sep,brown,dog,22,10,9
hiphop,Windows,M,1.71,57,42,jan,red,dog,16,,6
electronic,MacOS,M,1.85,90,43,feb,white,cat,42,6,6
rock,Windows,F,1.71,61,42,mar,green,dog,38,6.5,5
jazz,Windows,F,1.7,73,39,nov,blue,cat,7,6,8
electronic,Windows,M,1.86,90,45,feb,blue,cat,27,5,5
pop,Windows,M,1.68,65,41,mar,orange,dog,73,10,8.5
pop,Linux/unix,F,1.68,70,40,jun,black,dog,25,,
hiphop,Windows,M,1.83,68,43,feb,green,dog,4,10,8
pop,Windows,F,1.63,54,39,mar,blue,cat,82,,
laika,Windows,M,1.7,65,43,oct,κανενα,dog,52,0,0
hiphop,Windows,M,1.8,73,44,oct,blue,dog,29,5.5,5
pop,Windows,F,1.6,53,37,oct,blue,dog,30,6.5,6
pop,Windows,F,1.7,55,39,apr,green,dog,23,,5
hiphop,Windows,M,1.86,95,46,may,green,dog,87,10,10
metal,Windows,M,1.8,70,43,nov,orange,dog,55,7,6
jazz,Windows,M,1.75,85,42,oct,white,cat,74,5,6
electronic,MacOS,M,1.8,80,43,mar,blue,dog,5,5,7.5
rock,Windows,M,1.81,89,46,oct,blue,cat,2,0,5
hiphop,Windows,M,1.75,76,42,jan,yellow,dog,37,8.5,7.5
rock,MacOS,F,1.7,55,39,apr,white,dog,99,7,5
hiphop,Windows,M,1.95,80,46.5,apr,red,dog,2,5,5
jazz,Windows,M,1.77,72,43.5,apr,blue,dog,9,10,9
folk,MacOS,M,1.75,90,44,jun,green,dog,95,5.5,5.5
metal,Windows,M,1.73,80,43,jul,black,dog,76,9.5,8.5
laika,Windows,F,1.72,,40,sep,blue,dog,19,8.5,8
pop,Windows,M,1.83,70,44,feb,green,dog,7,0,5.5
laika,Windows,M,1.8,70,44,dec,red,dog,2.24,6,5
laika,Windows,F,1.66,80,40,jul,purple,dog,3,,
metal,Windows,M,1.83,85,45,may,black,,1,0,2
pop,Windows,F,1.6,52,36,mar,purple,dog,22,,6
hiphop,Windows,F,1.59,57,40,jun,green,cat,10,6,6
laika,Windows,M,1.77,72,43,mar,black,dog,65,5,7.5
laika,Windows,M,1.74,70,44,jun,red,canary,77,9.5,0
pop,Linux/unix,F,1.73,61,40,oct,blue,cat,65,6.5,6
rock,Windows,M,1.85,75,48.5,oct,purple,cat,3.1415,7,9
hiphop,Windows,F,1.76,68,40,nov,blue,dog,7,7,8.5
hiphop,Windows,M,1.7,74,44,apr,black,dog,1,3,5.5
pop,Windows,F,1.68,60,40,oct,purple,dog,4,5,
rock,Windows,M,1.82,60,44,jun,blue,cat,59,3,5
hiphop,Windows,M,1.68,67,42,jul,purple,,62,8,8
metal,Linux/unix,M,1.76,71,42,mar,blue,dog,8,6,7.5
laika,Windows,M,1.74,86,43,nov,pink,dog,14,0,6
hiphop,Linux/unix,M,1.84,73,45.5,feb,red,cat,48,10,6
pop,Windows,M,1.74,78,43,feb,yellow,dog,27,0,1
pop,Windows,F,1.7,65,39,jun,purple,dog,11,0,5
hiphop,Windows,M,1.77,77,42,jul,black,dog,23,5,5.5
laika,Windows,M,1.8,70,9,nov,green,dog,52,5,8
pop,MacOS,M,1.8,77,45,jul,purple,dog,44,3,3
hiphop,Windows,M,1.75,55,43,jul,red,dog,77,5,3
rock,Windows,F,1.68,70,40,nov,blue,dog,4,,5
hiphop,Windows,M,1.9,82,46,jun,black,dog,88,6,2
hiphop,Windows,M,1.8,81,43,dec,blue,dog,19,1,4
hiphop,Windows,M,1.79,79.5,43,nov,black,dog,34,,
hiphop,Windows,M,1.8,85,45,sep,purple,dog,77,5,5
rock,Windows,M,1.84,74,46,jul,blue,cat,77,,8
rock,Windows,M,1.75,80,45,feb,green,cat,8,9,10
electronic,Windows,M,1.73,65,43,oct,blue,cat,73,8.5,5
laika,Linux/unix,M,1.69,75,43,oct,black,dog,7,5,3
laika,Windows,F,1.6,60,38,jul,black,dog,55,6,6
metal,Windows,M,1.7,75,44,nov,black,none,69,7,5.5
hiphop,Windows,F,1.69,70,39,aug,red,cat,7,10,7
pop,Windows,F,1.66,74,40,nov,black,puma,76,5,8
rock,Windows,M,1.8,95,43,nov,green,racoon,69,5,4
pop,Windows,F,1.65,50,36,may,,dog,77,6,5
electronic,Windows,M,1.85,85,43.5,nov,black,dog,66,5,5
hiphop,MacOS,M,1.72,77,43,jan,white,canary,76,6,6
metal,Windows,M,1.76,75.5,42,mar,red,dog,69,10,10
laika,Windows,F,1.59,58,36.5,dec,pink,dog,20,5.5,
rock,Windows,F,1.7,43,37,jul,red,dog,73,,
jazz,MacOS,M,1.79,80,45,jul,green,dog,94,8,7
folk,Windows,M,1.73,85,43,dec,red,dog,7,3,3
laika,Windows,M,1.68,65,41,nov,blue,none,7,6,8
pop,Windows,M,1.83,78,43,feb,blue,dog,9,5.5,6
hiphop,Windows,M,1.8,80,43,oct,blue,dog,25,7,10
hiphop,Windows,M,1.84,82,45,may,blue,dog,59,7,9
pop,Windows,F,1.63,64,38,nov,black,dog,77,6,5.5
hiphop,Windows,M,1.85,120,46,mar,blue,dog,26,5.5,1
jazz,Linux/unix,M,1.85,75,44,jan,black,dog,29,5,7
hiphop,Windows,M,1.78,80,44,apr,purple,dog,64,8,7.5
rock,Windows,M,1.78,64,44,dec,black,cat,39,10,6.5
electronic,Windows,M,1.86,83,45,aug,black,cat,27,5.5,6
hiphop,MacOS,M,1.83,75,44.5,jul,blue,cat,38,5,7.5
laika,Windows,F,1.58,48,37,nov,pink,dog,13,0,2
hiphop,Windows,F,1.65,64,39,dec,purple,dog,8,6,5
hiphop,Windows,F,1.7,50,40,may,black,dog,50,,
hiphop,MacOS,F,1.67,74,38,may,black,cat,28,0,0
pop,Windows,F,1.62,58,37,mar,purple,dog,8,7,5.5
metal,Windows,M,1.75,70,43,jan,purple,dog,65,8.5,5.5
hiphop,Windows,F,1.76,75,42,jun,orange,dog,5,,
jazz,Windows,M,1.67,60,42,jan,yellow,cat,50,6.5,6.5
pop,Windows,M,1.8,84,44,dec,green,dog,13,5,7